v,x/u, u*cos(v), u*sin(v)
0.0,0,0.0,0.0
0.0,1,1.0,0.0
0.39269908169872414,1,0.9238795325112867,0.3826834323650898
0.7853981633974483,1,0.7071067811865476,0.7071067811865475
1.1780972450961724,1,0.38268343236508984,0.9238795325112867
1.5707963267948966,1,6.123233995736766e-17,1.0
1.9634954084936207,1,-0.3826834323650897,0.9238795325112867
2.356194490192345,1,-0.7071067811865475,0.7071067811865476
2.748893571891069,1,-0.9238795325112867,0.3826834323650899
3.141592653589793,1,-1.0,1.2246467991473532e-16
3.5342917352885173,1,-0.9238795325112868,-0.38268343236508967
3.9269908169872414,1,-0.7071067811865477,-0.7071067811865475
4.319689898685965,1,-0.38268343236509034,-0.9238795325112865
4.71238898038469,1,-1.8369701987210297e-16,-1.0
5.105088062083414,1,0.38268343236509,-0.9238795325112866
5.497787143782138,1,0.7071067811865474,-0.7071067811865477
5.890486225480862,1,0.9238795325112865,-0.3826834323650904
6.283185307179586,1,1.0,-2.4492935982947064e-16
0.0,2,2.0,0.0
0.39269908169872414,2,1.8477590650225735,0.7653668647301796
0.7853981633974483,2,1.4142135623730951,1.414213562373095
1.1780972450961724,2,0.7653668647301797,1.8477590650225735
1.5707963267948966,2,1.2246467991473532e-16,2.0
1.9634954084936207,2,-0.7653668647301795,1.8477590650225735
2.356194490192345,2,-1.414213562373095,1.4142135623730951
2.748893571891069,2,-1.8477590650225735,0.7653668647301798
3.141592653589793,2,-2.0,2.4492935982947064e-16
3.5342917352885173,2,-1.8477590650225737,-0.7653668647301793
3.9269908169872414,2,-1.4142135623730954,-1.414213562373095
4.319689898685965,2,-0.7653668647301807,-1.847759065022573
4.71238898038469,2,-3.6739403974420594e-16,-2.0
5.105088062083414,2,0.76536686473018,-1.8477590650225733
5.497787143782138,2,1.4142135623730947,-1.4142135623730954
5.890486225480862,2,1.847759065022573,-0.7653668647301808
6.283185307179586,2,2.0,-4.898587196589413e-16
0.0,3,3.0,0.0
0.39269908169872414,3,2.77163859753386,1.1480502970952693
0.7853981633974483,3,2.121320343559643,2.1213203435596424
1.1780972450961724,3,1.1480502970952695,2.77163859753386
1.5707963267948966,3,1.8369701987210297e-16,3.0
1.9634954084936207,3,-1.1480502970952693,2.77163859753386
2.356194490192345,3,-2.1213203435596424,2.121320343559643
2.748893571891069,3,-2.77163859753386,1.1480502970952697
3.141592653589793,3,-3.0,3.6739403974420594e-16
3.5342917352885173,3,-2.7716385975338604,-1.148050297095269
3.9269908169872414,3,-2.121320343559643,-2.1213203435596424
4.319689898685965,3,-1.148050297095271,-2.7716385975338595
4.71238898038469,3,-5.51091059616309e-16,-3.0
5.105088062083414,3,1.14805029709527,-2.77163859753386
5.497787143782138,3,2.121320343559642,-2.121320343559643
5.890486225480862,3,2.7716385975338595,-1.148050297095271
6.283185307179586,3,3.0,-7.347880794884119e-16
0.0,4,4.0,0.0
0.39269908169872414,4,3.695518130045147,1.5307337294603591
0.7853981633974483,4,2.8284271247461903,2.82842712474619
1.1780972450961724,4,1.5307337294603593,3.695518130045147
1.5707963267948966,4,2.4492935982947064e-16,4.0
1.9634954084936207,4,-1.530733729460359,3.695518130045147
2.356194490192345,4,-2.82842712474619,2.8284271247461903
2.748893571891069,4,-3.695518130045147,1.5307337294603596
3.141592653589793,4,-4.0,4.898587196589413e-16
3.5342917352885173,4,-3.6955181300451474,-1.5307337294603587
3.9269908169872414,4,-2.8284271247461907,-2.82842712474619
4.319689898685965,4,-1.5307337294603613,-3.695518130045146
4.71238898038469,4,-7.347880794884119e-16,-4.0
5.105088062083414,4,1.53073372946036,-3.6955181300451465
5.497787143782138,4,2.8284271247461894,-2.8284271247461907
5.890486225480862,4,3.695518130045146,-1.5307337294603616
6.283185307179586,4,4.0,-9.797174393178826e-16
