learning rate,batch size,dropout rate,weight decay,training time
1e-06,16.0,0.75,0.001,21.828508280217648
1e-06,16.0,0.75,0.1,21.82944918703288
1e-06,32.0,0.75,0.0,14.299423743970692
1e-06,32.0,0.75,0.001,14.086050473153591
1e-06,32.0,0.75,0.01,14.092445571906865
1e-06,32.0,0.75,0.1,14.132618600036949
1e-06,64.0,0.75,0.0,11.491090147290379
1e-06,64.0,0.75,0.01,11.451772331260145
1e-06,64.0,0.75,0.1,11.385765621904284
1e-06,80.0,0.75,0.0,10.885579064954072
1e-06,80.0,0.75,0.01,10.978850817773491
1e-05,16.0,0.75,0.0,21.876501082908362
1e-05,16.0,0.75,0.001,22.454732371959835
1e-05,16.0,0.75,0.01,22.492059310898185
1e-05,16.0,0.75,0.1,22.387218300718814
1e-05,32.0,0.75,0.0,14.583717301022261
1e-05,32.0,0.75,0.001,16.786191989202052
1e-05,32.0,0.75,0.01,16.314874115865678
1e-05,32.0,0.75,0.1,16.040888994932175
1e-05,64.0,0.75,0.0,11.94466661522165
1e-05,64.0,0.75,0.001,12.020318401046097
1e-05,64.0,0.75,0.01,11.96035873470828
1e-05,64.0,0.75,0.1,12.192061478737742
1e-05,80.0,0.75,0.0,11.653544433880597
1e-05,80.0,0.75,0.001,11.914554817136377
1e-05,80.0,0.75,0.01,11.99215626064688
1e-05,80.0,0.75,0.1,11.942478377372026
0.0001,16.0,0.75,0.0,25.735491595696658
0.0001,16.0,0.75,0.001,26.499074035789818
0.0001,16.0,0.75,0.01,26.334750830195844
0.0001,16.0,0.75,0.1,26.180246685165912
0.0001,32.0,0.75,0.0,15.198387084994465
0.0001,32.0,0.75,0.001,16.474395195953548
0.0001,32.0,0.75,0.01,16.367643039207906
0.0001,32.0,0.75,0.1,16.479741840157658
0.0001,64.0,0.75,0.0,12.312402974814177
0.0001,64.0,0.75,0.001,11.967645791824907
0.0001,64.0,0.75,0.01,12.407785384915769
0.0001,64.0,0.75,0.1,12.180554057937115
0.0001,80.0,0.75,0.0,11.758928982075304
0.0001,80.0,0.75,0.001,11.884589964989573
0.0001,80.0,0.75,0.01,11.65818544337526
0.0001,80.0,0.75,0.1,12.074680254794657
0.001,16.0,0.75,0.0,25.676636187825352
0.001,16.0,0.75,0.01,26.303152630105615
0.001,16.0,0.75,0.1,25.963909252081066
0.001,32.0,0.75,0.0,15.864208205137402
0.001,32.0,0.75,0.001,15.351915863808244
0.001,32.0,0.75,0.01,16.83440666599199
0.001,64.0,0.75,0.0,11.99652236700058
0.001,64.0,0.75,0.001,11.98738503921777
0.001,80.0,0.75,0.0,11.59123945236206
0.001,80.0,0.75,0.001,11.886617677751929
0.001,80.0,0.75,0.1,11.860356679186225
0.01,16.0,0.75,0.0,25.59102201880887
0.01,16.0,0.75,0.01,26.396894788835198
0.01,32.0,0.75,0.1,15.432375279255211
0.01,64.0,0.75,0.0,11.576867432333529
0.01,64.0,0.75,0.001,11.496498918160796
0.01,80.0,0.75,0.001,11.543053027708083
0.01,80.0,0.75,0.1,11.5364288687706
