epoch number,batch size,dropout rate,weight decay,training time
10.0,64.0,0.9,0.001,201.8290180931799
15.0,64.0,0.9,0.001,301.2645246339962
5.0,64.0,0.9,0.01,101.71798854600638
10.0,64.0,0.9,0.01,201.28063533222303
5.0,64.0,0.9,0.1,101.5099729001522
10.0,64.0,0.9,0.1,201.69238962000236
1.0,80.0,0.9,0.0,12.003690640907735
5.0,80.0,0.9,0.0,100.16217056009918
10.0,80.0,0.9,0.0,198.24238842492923
15.0,80.0,0.9,0.0,297.03160395892337
1.0,80.0,0.9,0.001,11.757893322966993
5.0,80.0,0.9,0.001,100.24081253819168
10.0,80.0,0.9,0.001,198.1325595760718
15.0,80.0,0.9,0.001,296.2907136050053
1.0,80.0,0.9,0.01,11.603903498034924
5.0,80.0,0.9,0.01,99.98158928565681
10.0,80.0,0.9,0.01,198.78259548870847
15.0,80.0,0.9,0.01,297.56615375587717
5.0,80.0,0.9,0.1,100.12216233974323
10.0,80.0,0.9,0.1,197.9867421737872
15.0,80.0,0.9,0.1,296.38834688207135
