training size,epoch number,learning rate,weight decay,training time
0.6,15.0,0.01,0.001,282.73386669624597
0.6,1.0,0.01,0.1,12.041585467290133
0.8,1.0,1e-06,0.0,15.417008346877992
0.8,5.0,1e-06,0.0,115.08721458213404
0.8,10.0,1e-06,0.0,228.67820423096418
0.8,15.0,1e-06,0.0,341.94335691910237
0.8,10.0,1e-06,0.001,229.39314246177673
0.8,15.0,1e-06,0.001,343.85707089165226
0.8,5.0,1e-06,0.01,115.38485015789047
0.8,10.0,1e-06,0.01,229.3486964609474
0.8,15.0,1e-06,0.01,343.11763654323295
0.8,5.0,1e-06,0.1,115.1703239530325
0.8,10.0,1e-06,0.1,227.4612463270314
0.8,15.0,1e-06,0.1,340.0095918760635
0.8,1.0,1e-05,0.0,15.204137641005218
0.8,5.0,1e-05,0.0,113.06089123804122
0.8,10.0,1e-05,0.0,224.63307885732502
0.8,15.0,1e-05,0.0,336.10339324129745
0.8,1.0,1e-05,0.001,15.287624387070537
0.8,5.0,1e-05,0.001,113.56123066786677
0.8,10.0,1e-05,0.001,225.92487042490393
0.8,15.0,1e-05,0.001,338.5590396616608
0.8,1.0,1e-05,0.01,15.091134287882596
0.8,5.0,1e-05,0.01,113.35298213874921
0.8,10.0,1e-05,0.01,225.54018655512482
0.8,15.0,1e-05,0.01,337.3440576437861
0.8,1.0,1e-05,0.1,15.229561924003065
0.8,5.0,1e-05,0.1,113.44152034725994
0.8,10.0,1e-05,0.1,228.96533303242177
0.8,15.0,1e-05,0.1,350.4014929821715
0.8,1.0,0.0001,0.0,16.0495513449423
0.8,5.0,0.0001,0.0,122.32786933099851
0.8,10.0,0.0001,0.0,242.71280390722677
0.8,15.0,0.0001,0.0,363.78926548501477
0.8,1.0,0.0001,0.001,16.084124314133078
0.8,5.0,0.0001,0.001,122.12231735419482
0.8,10.0,0.0001,0.001,243.46379191800952
0.8,15.0,0.0001,0.001,363.995451615192
0.8,1.0,0.0001,0.01,16.01993876695633
0.8,5.0,0.0001,0.01,122.70947291702032
0.8,10.0,0.0001,0.01,245.13967701839283
0.8,15.0,0.0001,0.01,365.91290383506566
0.8,1.0,0.0001,0.1,15.83956035785377
0.8,5.0,0.0001,0.1,122.55655791983008
0.8,10.0,0.0001,0.1,244.27537652058527
0.8,15.0,0.0001,0.1,364.46678429981694
0.8,1.0,0.001,0.0,15.968580150976777
0.8,5.0,0.001,0.0,121.77346367109567
0.8,10.0,0.001,0.0,241.43162061972544
0.8,15.0,0.001,0.0,360.7560358531773
0.8,1.0,0.001,0.001,15.942338385153562
0.8,5.0,0.001,0.001,121.7761217020452
0.8,10.0,0.001,0.001,243.12342149810866
0.8,15.0,0.001,0.001,363.1341484240256
0.8,1.0,0.001,0.01,15.95711070485413
0.8,5.0,0.001,0.01,121.88865745160729
0.8,10.0,0.001,0.01,242.88469296088442
0.8,15.0,0.001,0.01,363.15276653086767
0.8,1.0,0.001,0.1,16.13375973002985
0.8,5.0,0.001,0.1,122.06259454507381
0.8,10.0,0.001,0.1,242.65984064899385
0.8,15.0,0.001,0.1,363.2819016119465
0.8,5.0,0.01,0.0,121.14763577003032
0.8,10.0,0.01,0.0,241.5752712697722
0.8,15.0,0.01,0.0,361.1455521979369
0.8,1.0,0.01,0.001,16.01012219162658
0.8,5.0,0.01,0.001,121.82576885866001
0.8,10.0,0.01,0.001,242.90079570980743
0.8,15.0,0.01,0.001,362.9673995068297
0.8,5.0,0.01,0.01,121.89908952685073
0.8,10.0,0.01,0.01,242.62175889406353
