training size,batch size,dropout rate,weight decay,training time
0.6,80.0,0.75,0.1,8.749522569123656
0.6,16.0,0.9,0.0,17.22536627901718
0.6,16.0,0.9,0.01,17.46915000071749
0.6,16.0,0.9,0.1,17.421588725876063
0.6,32.0,0.9,0.0,11.159862863831222
0.6,32.0,0.9,0.001,11.072781986091286
0.6,32.0,0.9,0.01,11.242356427013874
0.6,32.0,0.9,0.1,11.01285949908197
0.6,64.0,0.9,0.001,8.536065433174372
0.6,80.0,0.9,0.0,8.418700114358217
0.6,80.0,0.9,0.001,8.503449374809861
0.6,80.0,0.9,0.01,8.299798334017396
0.6,80.0,0.9,0.1,8.29318607924506
0.8,16.0,0.25,0.0,25.253849774133414
0.8,16.0,0.25,0.001,25.953202851116657
0.8,16.0,0.25,0.01,25.96693661995232
0.8,16.0,0.25,0.1,25.77608618279919
0.8,32.0,0.25,0.0,16.385256104171276
0.8,32.0,0.25,0.001,16.175427093170583
0.8,32.0,0.25,0.01,16.200745474081486
0.8,64.0,0.25,0.0,11.941742057912052
0.8,64.0,0.25,0.001,11.915920402854681
0.8,80.0,0.25,0.0,11.705231982748955
0.8,80.0,0.25,0.001,12.051438996102661
0.8,80.0,0.25,0.01,11.650926399976015
0.8,16.0,0.5,0.0,22.62615188676864
0.8,16.0,0.5,0.001,22.88332442007959
0.8,16.0,0.5,0.1,22.92237828904763
0.8,32.0,0.5,0.0,14.733984800055623
0.8,32.0,0.5,0.001,14.675108244176954
0.8,32.0,0.5,0.01,15.160656235180795
0.8,64.0,0.5,0.0,11.283383895177394
0.8,64.0,0.5,0.001,11.69350358704105
0.8,64.0,0.5,0.01,11.514035749714822
0.8,64.0,0.5,0.1,11.315665545873344
0.8,80.0,0.5,0.0,10.753032886888832
0.8,80.0,0.5,0.001,10.91760556679219
0.8,80.0,0.5,0.01,10.676517093088478
0.8,16.0,0.75,0.0,25.676636187825352
0.8,16.0,0.75,0.01,26.303152630105615
0.8,16.0,0.75,0.1,25.963909252081066
0.8,32.0,0.75,0.0,15.864208205137402
0.8,32.0,0.75,0.001,15.351915863808244
0.8,32.0,0.75,0.01,16.83440666599199
0.8,64.0,0.75,0.0,11.99652236700058
0.8,64.0,0.75,0.001,11.98738503921777
0.8,80.0,0.75,0.0,11.59123945236206
0.8,80.0,0.75,0.001,11.886617677751929
0.8,80.0,0.75,0.1,11.860356679186225
0.8,16.0,0.9,0.0,24.97668456006795
0.8,16.0,0.9,0.001,25.565598336979747
0.8,16.0,0.9,0.01,25.682439936324954
0.8,32.0,0.9,0.0,15.968580150976777
0.8,32.0,0.9,0.001,15.942338385153562
0.8,32.0,0.9,0.01,15.95711070485413
0.8,32.0,0.9,0.1,16.13375973002985
0.8,64.0,0.9,0.0,11.876245811581612
0.8,64.0,0.9,0.001,11.855521451216191
0.8,80.0,0.9,0.0,12.003690640907735
0.8,80.0,0.9,0.001,11.757893322966993
0.8,80.0,0.9,0.01,11.603903498034924
