epoch number,learning rate,batch size,weight decay,training time
10.0,0.01,80.0,0.0,198.45301532465965
15.0,0.01,80.0,0.0,297.20331417769194
1.0,0.01,80.0,0.001,11.814975150860846
5.0,0.01,80.0,0.001,99.93213037680835
10.0,0.01,80.0,0.001,199.53664254583418
15.0,0.01,80.0,0.001,297.8082770816982
5.0,0.01,80.0,0.01,99.82432898366824
10.0,0.01,80.0,0.01,198.34892750391737
1.0,0.01,80.0,0.1,11.739109023008496
5.0,0.01,80.0,0.1,99.98962684581056
