training size,learning rate,batch size,weight decay,training time
0.6,0.0001,80.0,0.1,8.391819139011204
0.6,0.001,16.0,0.0,17.22536627901718
0.6,0.001,16.0,0.01,17.46915000071749
0.6,0.001,16.0,0.1,17.421588725876063
0.6,0.001,32.0,0.0,11.159862863831222
0.6,0.001,32.0,0.001,11.072781986091286
0.6,0.001,32.0,0.01,11.242356427013874
0.6,0.001,32.0,0.1,11.01285949908197
0.6,0.001,64.0,0.001,8.536065433174372
0.6,0.001,80.0,0.0,8.418700114358217
0.6,0.001,80.0,0.001,8.503449374809861
0.6,0.001,80.0,0.01,8.299798334017396
0.6,0.001,80.0,0.1,8.29318607924506
0.6,0.01,16.0,0.0,17.346694400999695
0.6,0.01,16.0,0.001,17.614422630053014
0.6,0.01,16.0,0.01,17.576800564769655
0.6,0.01,32.0,0.0,11.266068638768047
0.6,0.01,32.0,0.1,12.041585467290133
0.8,1e-06,16.0,0.0,23.84359438996762
0.8,1e-06,16.0,0.01,24.29994035512209
0.8,1e-06,16.0,0.1,24.014663100708276
0.8,1e-06,32.0,0.0,15.417008346877992
0.8,1e-06,64.0,0.0,11.415211535058916
0.8,1e-06,64.0,0.001,11.597878988832235
0.8,1e-06,64.0,0.01,11.891948938835412
0.8,1e-06,64.0,0.1,11.678419047035277
0.8,1e-06,80.0,0.0,11.094095932785422
0.8,1e-06,80.0,0.001,11.46801777696237
0.8,1e-05,16.0,0.0,23.143356003798544
0.8,1e-05,16.0,0.001,23.804791533388197
0.8,1e-05,16.0,0.01,23.80585813196376
0.8,1e-05,16.0,0.1,23.487761745695025
0.8,1e-05,32.0,0.0,15.204137641005218
0.8,1e-05,32.0,0.001,15.287624387070537
0.8,1e-05,32.0,0.01,15.091134287882596
0.8,1e-05,32.0,0.1,15.229561924003065
0.8,1e-05,64.0,0.0,11.917616174090654
0.8,1e-05,64.0,0.001,11.913564343005419
0.8,1e-05,64.0,0.01,11.906246697995812
0.8,1e-05,64.0,0.1,12.126573919784278
0.8,1e-05,80.0,0.0,11.91759403469041
0.8,1e-05,80.0,0.01,11.63670316990465
0.8,1e-05,80.0,0.1,11.8286262457259
0.8,0.0001,16.0,0.0,24.924072018824518
0.8,0.0001,16.0,0.001,25.679529279004782
0.8,0.0001,16.0,0.01,25.617136414162815
0.8,0.0001,16.0,0.1,25.201934640761465
0.8,0.0001,32.0,0.0,16.0495513449423
0.8,0.0001,32.0,0.001,16.084124314133078
