training size,epoch number,batch size,dropout rate,training time
0.8,1.0,32.0,0.5,14.733984800055623
0.8,5.0,32.0,0.5,110.02507863007486
0.8,10.0,32.0,0.5,219.47084031812847
0.8,15.0,32.0,0.5,328.89593372587115
0.8,1.0,64.0,0.5,11.283383895177394
0.8,5.0,64.0,0.5,93.67930299881846
0.8,10.0,64.0,0.5,185.8981212200597
0.8,15.0,64.0,0.5,277.94336057594046
0.8,1.0,80.0,0.5,10.753032886888832
0.8,5.0,80.0,0.5,89.5742885377258
0.8,10.0,80.0,0.5,178.01718255179003
0.8,15.0,80.0,0.5,266.7137303450145
0.8,1.0,16.0,0.75,25.676636187825352
0.8,5.0,16.0,0.75,174.2117930999957
0.8,10.0,16.0,0.75,347.3197811548598
0.8,15.0,16.0,0.75,519.6766226151958
0.8,1.0,32.0,0.75,15.864208205137402
0.8,5.0,32.0,0.75,118.40799736697227
0.8,10.0,32.0,0.75,235.6061453432776
0.8,15.0,32.0,0.75,352.39430630300194
0.8,1.0,64.0,0.75,11.99652236700058
0.8,5.0,64.0,0.75,102.38015234284103
0.8,10.0,64.0,0.75,202.57268278300762
0.8,15.0,64.0,0.75,303.2685510790907
0.8,1.0,80.0,0.75,11.59123945236206
0.8,5.0,80.0,0.75,100.26455148216337
0.8,10.0,80.0,0.75,198.91286993399262
0.8,15.0,80.0,0.75,297.99899772321805
0.8,1.0,16.0,0.9,24.97668456006795
0.8,5.0,16.0,0.9,170.07359306514263
0.8,10.0,16.0,0.9,339.51895883725956
0.8,15.0,16.0,0.9,508.95636075921357
0.8,1.0,32.0,0.9,15.968580150976777
0.8,5.0,32.0,0.9,121.77346367109567
0.8,10.0,32.0,0.9,241.43162061972544
0.8,15.0,32.0,0.9,360.7560358531773
0.8,1.0,64.0,0.9,11.876245811581612
0.8,5.0,64.0,0.9,101.82795604784042
0.8,10.0,64.0,0.9,201.21252295468003
0.8,15.0,64.0,0.9,301.25753392791376
0.8,1.0,80.0,0.9,12.003690640907735
0.8,5.0,80.0,0.9,100.16217056009918
0.8,10.0,80.0,0.9,198.24238842492923
0.8,15.0,80.0,0.9,297.03160395892337
