training size,learning rate,dropout rate,weight decay,training time
0.6,0.001,0.5,0.01,11.28669319767505
0.6,0.01,0.5,0.0,11.611575560178608
0.6,0.01,0.5,0.001,11.414913403335959
0.6,0.01,0.5,0.01,11.630915817338973
0.6,1e-06,0.75,0.01,11.659900018014014
0.6,1e-05,0.75,0.0,11.127477122936398
0.6,1e-05,0.75,0.001,11.06907025212422
0.6,1e-05,0.75,0.01,11.043748956173658
0.6,1e-05,0.75,0.1,11.162551297340542
0.6,0.0001,0.75,0.0,11.34832556033507
0.6,0.0001,0.75,0.001,11.517459122929722
0.6,0.0001,0.75,0.01,11.326420035213232
0.6,0.0001,0.75,0.1,11.467563793063164
0.6,0.001,0.75,0.0,11.358864502981305
0.6,0.001,0.75,0.001,11.759079109877348
0.6,0.001,0.75,0.01,11.499750068876892
0.6,0.01,0.75,0.001,11.521420081146061
0.6,0.01,0.75,0.01,11.484012189786881
0.6,1e-06,0.9,0.0,11.375953121110797
0.6,1e-06,0.9,0.001,11.114549295045435
0.6,1e-06,0.9,0.01,11.326151257846504
0.6,1e-05,0.9,0.0,11.153048667125404
0.6,1e-05,0.9,0.001,11.195236823055893
0.6,1e-05,0.9,0.01,11.131761690136045
0.6,1e-05,0.9,0.1,11.152991908602417
0.6,0.0001,0.9,0.0,11.514195756986737
0.6,0.0001,0.9,0.001,11.504823524970561
0.6,0.0001,0.9,0.01,11.473361452575773
0.6,0.0001,0.9,0.1,11.387595179025084
0.6,0.001,0.9,0.0,11.159862863831222
0.6,0.001,0.9,0.001,11.072781986091286
0.6,0.001,0.9,0.01,11.242356427013874
0.6,0.001,0.9,0.1,11.01285949908197
0.6,0.01,0.9,0.0,11.266068638768047
0.6,0.01,0.9,0.1,12.041585467290133
0.8,1e-06,0.25,0.0,16.72351735411212
0.8,1e-06,0.25,0.001,16.792166483122855
0.8,1e-06,0.25,0.01,16.855124596040696
0.8,1e-06,0.25,0.1,16.42764319293201
0.8,1e-05,0.25,0.0,16.35903614992276
0.8,1e-05,0.25,0.001,16.233202951028943
0.8,1e-05,0.25,0.01,16.477149988990277
0.8,1e-05,0.25,0.1,16.09354637004435
0.8,0.0001,0.25,0.0,16.493086010217667
0.8,0.0001,0.25,0.001,16.31031801365316
0.8,0.0001,0.25,0.01,16.27436862466857
0.8,0.0001,0.25,0.1,16.017287734895945
0.8,0.001,0.25,0.0,16.385256104171276
0.8,0.001,0.25,0.001,16.175427093170583
0.8,0.001,0.25,0.01,16.200745474081486
0.8,0.01,0.25,0.0,16.923611376900226
0.8,0.01,0.25,0.001,16.832575818989426
0.8,1e-06,0.5,0.0,16.528366720769554
0.8,1e-06,0.5,0.001,16.503492758143693
0.8,1e-06,0.5,0.01,16.473828269168735
0.8,1e-06,0.5,0.1,16.184453931171447
0.8,1e-05,0.5,0.0,16.920987237710506
0.8,1e-05,0.5,0.001,16.813548790756613
0.8,1e-05,0.5,0.01,16.81437984481454
0.8,1e-05,0.5,0.1,16.475420646369457
0.8,0.0001,0.5,0.0,16.76203401805833
0.8,0.0001,0.5,0.001,16.706431854050606
0.8,0.0001,0.5,0.01,16.671089637093246
0.8,0.0001,0.5,0.1,16.183709980919957
0.8,0.001,0.5,0.0,14.733984800055623
0.8,0.001,0.5,0.001,14.675108244176954
0.8,0.001,0.5,0.01,15.160656235180795
0.8,0.01,0.5,0.0,14.358494130894542
0.8,0.01,0.5,0.001,14.08572847303003
0.8,1e-06,0.75,0.0,14.299423743970692
0.8,1e-06,0.75,0.001,14.086050473153591
0.8,1e-06,0.75,0.01,14.092445571906865
0.8,1e-06,0.75,0.1,14.132618600036949
0.8,1e-05,0.75,0.0,14.583717301022261
0.8,1e-05,0.75,0.001,16.786191989202052
0.8,1e-05,0.75,0.01,16.314874115865678
0.8,1e-05,0.75,0.1,16.040888994932175
0.8,0.0001,0.75,0.0,15.198387084994465
0.8,0.0001,0.75,0.001,16.474395195953548
0.8,0.0001,0.75,0.01,16.367643039207906
0.8,0.0001,0.75,0.1,16.479741840157658
0.8,0.001,0.75,0.0,15.864208205137402
0.8,0.001,0.75,0.001,15.351915863808244
0.8,0.001,0.75,0.01,16.83440666599199
0.8,0.01,0.75,0.1,15.432375279255211
0.8,1e-06,0.9,0.0,15.417008346877992
0.8,1e-05,0.9,0.0,15.204137641005218
0.8,1e-05,0.9,0.001,15.287624387070537
0.8,1e-05,0.9,0.01,15.091134287882596
0.8,1e-05,0.9,0.1,15.229561924003065
0.8,0.0001,0.9,0.0,16.0495513449423
0.8,0.0001,0.9,0.001,16.084124314133078
0.8,0.0001,0.9,0.01,16.01993876695633
0.8,0.0001,0.9,0.1,15.83956035785377
0.8,0.001,0.9,0.0,15.968580150976777
0.8,0.001,0.9,0.001,15.942338385153562
0.8,0.001,0.9,0.01,15.95711070485413
0.8,0.001,0.9,0.1,16.13375973002985
0.8,0.01,0.9,0.001,16.01012219162658
