epoch number,learning rate,batch size,dropout rate,training time
5.0,0.001,64.0,0.9,101.82795604784042
10.0,0.001,64.0,0.9,201.21252295468003
15.0,0.001,64.0,0.9,301.25753392791376
1.0,0.001,80.0,0.9,12.003690640907735
5.0,0.001,80.0,0.9,100.16217056009918
10.0,0.001,80.0,0.9,198.24238842492923
15.0,0.001,80.0,0.9,297.03160395892337
1.0,0.01,16.0,0.9,24.887807654216886
5.0,0.01,16.0,0.9,169.6378712770529
10.0,0.01,16.0,0.9,337.5846242951229
15.0,0.01,16.0,0.9,505.8654384808615
5.0,0.01,32.0,0.9,121.14763577003032
10.0,0.01,32.0,0.9,241.5752712697722
15.0,0.01,32.0,0.9,361.1455521979369
1.0,0.01,64.0,0.9,11.914051472209394
5.0,0.01,64.0,0.9,101.46688302606344
10.0,0.01,64.0,0.9,200.97825180692598
15.0,0.01,64.0,0.9,300.80426153726876
5.0,0.01,80.0,0.9,100.23124730400741
10.0,0.01,80.0,0.9,198.45301532465965
15.0,0.01,80.0,0.9,297.20331417769194
